999	SISTEMA FINANCIERO
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	-0601796952088,00	
433500101	 0083705031023,00	
433500102	-0414729886194,00	
433500103	 0738569536493,00	
433500104	-1009341633410,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000030145818,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000030145818,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	-0000428407280,00	
435300100	-0000428407280,00	
435300200	 0000000000000,00	
435400000	 0000705275310,00	
435400100	 0000705275310,00	
435400101	 0000898600360,00	
435400102	-0000193325050,00	
435400103	 0000000000000,00	
440000000	 0001754878829,00	
442000100	 0001754878829,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0001118216087,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000024589871,00	
442000109	 0000612072871,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0001201431307,00	
451000000	 0000048248845,00	
451000100	 0002224481430,00	
451000101	 0000354951253,00	
451000102	 0001869530177,00	
451000200	 0001807567950,00	
451000300	-0001339817658,00	
451000400	-0002153361442,00	
451000500	-0000490621435,00	
452000100	 0000835375439,00	
452000101	 0000000000000,00	
452000102	 0000000000000,00	
452000103	 0000328509910,00	
452000104	 0000506728009,00	
452000109	 0000000137520,00	
452000200	 0000317807023,00	
455000000	 0013431143950,00	
455000100	 0000000000000,00	
455000200	 0000532012199,00	
455000300	 0001458552378,00	
455000400	 0000305849167,00	
455000500	 0000122653789,00	
455000600	 0002051331901,00	
455000900	 0008960744516,00	
462000000	-0282920744136,00	
462100100	-0251516908917,00	
462100101	-0147950579159,00	
462100102	-0048134198473,00	
462100103	-0025991214416,00	
462100190	-0029440916869,00	
462200100	 0000000000000,00	
462300100	-0003789971798,00	
462300101	-0000203075955,00	
462300102	-0000816519336,00	
462300190	-0002770376507,00	
462400100	-0008870169633,00	
462400101	-0008870169633,00	
462400190	 0000000000000,00	
462500100	-0000225413554,00	
462500101	-0000181537914,00	
462500102	-0000043875640,00	
462600100	 0000000000000,00	
462700100	-0000253868347,00	
462800100	-0000716120462,00	
462900100	-0017548291425,00	
462900101	-0001124282555,00	
462900102	-0000554197567,00	
462900190	-0015869811303,00	
464000000	-0201129297194,00	
464100100	-0119416715230,00	
464100101	-0002204662954,00	
464100102	-0003519232930,00	
464100103	-0001313556333,00	
464100104	-0010717389567,00	
464100105	-0004672256923,00	
464100106	-0002997385938,00	
464100107	-0050256866601,00	
464100108	-0003411146703,00	
464100109	-0005720190595,00	
464100110	-0001548319385,00	
464100111	-0003463892298,00	
464100112	-0000840683432,00	
464100113	 0000002384858,00	
464100114	-0000119922166,00	
464100115	-0000022458170,00	
464100116	-0005484592231,00	
464100117	-0000008894491,00	
464100118	-0000036796682,00	
464100190	-0023080852689,00	
464200100	-0044026676968,00	
464200101	-0013298076564,00	
464200102	-0007030555998,00	
464200103	-0002298683235,00	
