012	BANCO DEL ESTADO DE CHILE
433250460	 0001024415946,00	
433250461	 0000000000000,00	
433250462	 0001024415946,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	 0000000000000,00	
433300000	 0000000000000,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	 0000000000000,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	-0120232283719,00	
433500101	 0000000000000,00	
433500102	 0000000000000,00	
433500103	 0705292446684,00	
433500104	-0825524730403,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0000000000000,00	
435300100	 0000000000000,00	
435300200	 0000000000000,00	
435400000	 0000000000000,00	
435400100	 0000000000000,00	
435400101	 0000000000000,00	
435400102	 0000000000000,00	
435400103	 0000000000000,00	
440000000	 0003835588328,00	
442000100	 0004496182018,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0004058315326,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000166296997,00	
442000109	 0000271569695,00	
444000100	-0000660593690,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	-0000660593690,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0000199689279,00	
451000000	 0000199689279,00	
451000100	 0001700298250,00	
451000101	 0000609460230,00	
451000102	 0001090838020,00	
451000200	 0000000000000,00	
451000300	-0000003771514,00	
451000400	-0001449514970,00	
451000500	-0000047322487,00	
452000100	 0000000000000,00	
452000101	 0000000000000,00	
452000102	 0000000000000,00	
452000103	 0000000000000,00	
452000104	 0000000000000,00	
452000109	 0000000000000,00	
452000200	 0000000000000,00	
455000000	 0082463502953,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0000000000000,00	
455000400	 0000000000000,00	
455000500	 0000736519387,00	
455000600	 0000667028019,00	
455000900	 0081059955547,00	
462000000	-0539156442022,00	
462100100	-0467342996807,00	
462100101	-0345535685332,00	
462100102	-0047935246781,00	
462100103	-0071618160334,00	
462100190	-0002253904360,00	
462200100	 0000000000000,00	
462300100	-0014459657943,00	
462300101	 0000000000000,00	
462300102	-0000096678398,00	
462300190	-0014362979545,00	
462400100	 0000000000000,00	
462400101	 0000000000000,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	 0000000000000,00	
462800100	-0005280437262,00	
462900100	-0052073350010,00	
462900101	-0002631378303,00	
462900102	-0000004215448,00	
462900190	-0049437756259,00	
464000000	-0320055841225,00	
464100100	-0199749891795,00	
464100101	 0000000000000,00	
464100102	 0000000000000,00	
464100103	-0005239412522,00	
464100104	-0009939432840,00	
464100105	-0005155853897,00	
464100106	-0009111604658,00	
464100107	-0104253440951,00	
464100108	-0006985880749,00	
464100109	-0011697734691,00	
464100110	-0003753596283,00	
464100111	-0000229537677,00	
464100112	-0000874541317,00	
464100113	 0000000000000,00	
464100114	-0000064762510,00	
464100115	 0000000000000,00	
464100116	-0002648638528,00	
464100117	 0000000000000,00	
464100118	-0000078688164,00	
464100190	-0039716767008,00	
464200100	-0084630080795,00	
464200101	-0004855495788,00	
464200102	-0026103978928,00	
464200103	-0009554427342,00	
464200104	-0000337110511,00	
464200105	-0006065703002,00	
464200106	-0000110281174,00	
464200107	-0006256289959,00	
464200108	-0015160167674,00	
464200109	 0000000000000,00	
464200110	 0000000000000,00	
464200190	-0016186626417,00	
464300100	-0000363798678,00	
464300101	-0000363756091,00	
464300102	-0000000042587,00	
464400100	-0011294073654,00	
464500100	-0024017996303,00	
464500101	-0003691107404,00	
464500102	-0001442291154,00	
464500103	-0004432639690,00	
464500104	-0014451958055,00	
464500190	 0000000000000,00	
466000000	-0077292138631,00	
466100000	-0020030216836,00	
466100100	-0000000732270,00	
466100101	 0000000000000,00	
