039	ITAÚ CORPBANCA
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	-0000917844949,00	
431800901	 0000000000000,00	
431800902	-0005333595491,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0004415750542,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	-0020184133874,00	
432200000	 0004734212661,00	
432200100	 0000000000000,00	
432200200	-0006974109765,00	
432200300	 0000000000000,00	
432200400	 0010985737767,00	
432200500	 0000000000000,00	
432200600	 0000666944659,00	
432300700	 0000055640000,00	
432400000	-0024918346535,00	
432400100	 0000000000000,00	
432400200	-0024918346535,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000000000000,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	 0000000000000,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	-0051516118256,00	
433100100	-0060921794495,00	
433100101	-0064357755025,00	
433100102	 0003435960530,00	
433200000	 0000492306206,00	
433210000	 0000000000000,00	
433210100	 0000000000000,00	
433210200	 0000000000000,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	 0000000000000,00	
433240100	 0000000000000,00	
433240200	 0000000000000,00	
433250000	 0000445785242,00	
433250100	 0000000000000,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	 0000445785242,00	
433250410	 0000000000000,00	
433250411	 0000000000000,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0000000000000,00	
433250451	 0000000000000,00	
433250452	 0000000000000,00	
433250460	 0000445785242,00	
433250461	 0000000000000,00	
433250462	 0000445785242,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	 0000024270523,00	
433300000	 0000022250441,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	 0000022250441,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	 0008913370033,00	
433500101	 0473225550455,00	
433500102	-0457035870137,00	
433500103	 0334848298974,00	
433500104	-0342124609259,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0000147402615,00	
435300100	 0000147402615,00	
435300200	 0000000000000,00	
435400000	 0001123190499,00	
435400100	 0001123190499,00	
435400101	 0006331960907,00	
435400102	-0005208770408,00	
435400103	 0000000000000,00	
440000000	 0004223902246,00	
442000100	 0004223902246,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0002428693461,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000379888278,00	
442000109	 0001415320507,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	-0021222946496,00	
451000000	-0018738470049,00	
451000100	 0003684464017,00	
451000101	 0000000000000,00	
451000102	 0003684464017,00	
451000200	 0005079105905,00	
451000300	-0024006460802,00	
451000400	-0002622377159,00	
451000500	-0000873202010,00	
452000100	-0002484476447,00	
452000101	 0000016819265,00	
452000102	 0000000000000,00	
452000103	 0000014397736,00	
452000104	-0002888548961,00	
452000109	 0000372855513,00	
452000200	 0000000000000,00	
455000000	 0025075843562,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0004206000000,00	
455000400	 0000000000000,00	
455000500	 0000000000000,00	
455000600	 0010671542615,00	
455000900	 0010198300947,00	
462000000	-0341498254834,00	
462100100	-0285537734323,00	
462100101	-0188413200153,00	
462100102	-0067703145276,00	
462100103	-0028709633689,00	
462100190	-0000711755205,00	
462200100	 0000000000000,00	
462300100	-0001210782505,00	
462300101	-0001085782504,00	
462300102	-0000125000001,00	
462300190	 0000000000000,00	
462400100	-0030074951642,00	
462400101	-0030074951642,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	-0001869052037,00	
462800100	 0000000000000,00	
462900100	-0022805734327,00	
462900101	-0002667960912,00	
462900102	-0000589667122,00	
462900190	-0019548106293,00	
464000000	-0298112476738,00	
464100100	-0208405946618,00	
464100101	-0001976102532,00	
464100102	 0000000000000,00	
464100103	-0000232062642,00	
464100104	-0032364204266,00	
464100105	-0018821855892,00	
464100106	-0001692610271,00	
464100107	-0048625371643,00	
464100108	-0002784726736,00	
464100109	-0005643055674,00	
464100110	-0001782741678,00	
464100111	-0019903889811,00	
464100112	-0001408291495,00	
464100113	 0000000000000,00	
464100114	-0000068889612,00	
464100115	 0000000000000,00	
464100116	-0026225408381,00	
464100117	-0000004374266,00	
464100118	-0000367801903,00	
464100190	-0046504559816,00	
464200100	-0033772801908,00	
464200101	-0011835258162,00	
464200102	 0000000000000,00	
464200103	 0000000000000,00	
464200104	-0000050485186,00	
464200105	-0000320108987,00	
464200106	-0001649063785,00	
464200107	 0000000000000,00	
464200108	-0000573915425,00	
464200109	-0000090924798,00	
464200110	 0000000000000,00	
464200190	-0019253045565,00	
464300100	-0001238778398,00	
464300101	-0001238778398,00	
464300102	 0000000000000,00	
464400100	-0014528868430,00	
464500100	-0040166081384,00	
464500101	-0000340839541,00	
464500102	-0001535131371,00	
464500103	-0028418549752,00	
464500104	-0009871560720,00	
464500190	 0000000000000,00	
466000000	-0096187144658,00	
466100000	-0054716123890,00	
466100100	-0022055122146,00	
466100101	-0002996936478,00	
466100102	 0000000000000,00	
466100103	-0013954485672,00	
466100104	-0005103699996,00	
