055	BANCO CONSORCIO
422150101	 0000000000000,00	
422150102	 0000002111388,00	
422150103	 0000000000000,00	
422150104	 0000029223612,00	
422180100	 0000000000000,00	
422180101	 0000000000000,00	
422180102	 0000000000000,00	
422250100	 0000000000000,00	
422250101	 0000000000000,00	
422250102	 0000000000000,00	
422280100	 0000003269340,00	
422280101	 0000003269340,00	
422280102	 0000000000000,00	
422280103	 0000000000000,00	
422280104	 0000000000000,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0000085373467,00	
422350101	 0000026550051,00	
422350102	 0000058823416,00	
422350103	 0000000000000,00	
422350104	 0000000000000,00	
422350105	 0000000000000,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0000294776446,00	
422380101	 0000117793462,00	
422380102	 0000000000000,00	
422380103	 0000000000000,00	
422380104	 0000176982984,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0000081309782,00	
422450101	 0000000000000,00	
422450102	 0000000000000,00	
422450103	 0000033645994,00	
422450104	 0000000000000,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0000041275443,00	
422450108	 0000006388345,00	
422450190	 0000000000000,00	
422480100	 0002409856010,00	
422480101	 0001621374196,00	
422480102	 0000082800923,00	
422480103	 0000000000000,00	
422480190	 0000705680891,00	
422550100	 0000000000000,00	
422550101	 0000000000000,00	
422550102	 0000000000000,00	
422550103	 0000000000000,00	
422550104	 0000000000000,00	
422580000	 0000303459816,00	
422580100	 0000107645581,00	
422580101	 0000107645581,00	
422580102	 0000000000000,00	
422580200	 0000195814235,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000057793939,00	
422680100	 0000001436987,00	
422750100	 0000000000000,00	
422780100	 0000163062311,00	
422780101	 0000000000000,00	
422780102	 0000000000000,00	
422780103	 0000000000000,00	
422780190	 0000163062311,00	
422850100	 0002410980270,00	
422850101	 0000000000000,00	
422850102	 0000000000000,00	
422850103	 0000566378717,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0001844601553,00	
425000000	-0002475416679,00	
425150100	-0000004164375,00	
425150101	 0000000000000,00	
425150102	-0000004164375,00	
425150103	 0000000000000,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0000433313498,00	
425350101	 0000000000000,00	
425350102	-0000433313498,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	 0000000000000,00	
425380100	-0002037938806,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000221503180,00	
425380104	 0000000000000,00	
425380105	-0000031211158,00	
425380106	 0000000000000,00	
425380190	-0001785224468,00	
431000000	 0031408205122,00	
431150100	 0026141722607,00	
431150101	 0173588438538,00	
431150102	-0147446715931,00	
431180100	 0004875488957,00	
431180101	 0000035509980,00	
431180102	-0000962793119,00	
431180103	 0002018671995,00	
431180104	-0001502385939,00	
431180105	 0004780375821,00	
431180106	 0000506110219,00	
431250000	 0000390993558,00	
431250100	 0000278043010,00	
431250101	 0000105427884,00	
431250102	 0000000000000,00	
431250103	 0000172615126,00	
431250104	 0000000000000,00	
431250200	 0000112950548,00	
431250201	 0000000000000,00	
431250202	-0000032989766,00	
431250203	 0000210234675,00	
431250204	-0000181393238,00	
431250205	 0000117098877,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	 0000460235609,00	
431800100	 0000460235609,00	
431800101	 0000508529379,00	
431800102	-0000081789261,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000033495491,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	 0001898968420,00	
432200000	 0001552502704,00	
432200100	 0000000000000,00	
432200200	 0000000000000,00	
432200300	 0000000000000,00	
432200400	 0000421766149,00	
432200500	 0001130736555,00	
432200600	 0000000000000,00	
432300700	 0000000000000,00	
432400000	 0000346465716,00	
432400100	 0000000000000,00	
432400200	 0000346465716,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000000000000,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	 0000000000000,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	-0026279658918,00	
433100100	-0038539215965,00	
433100101	-0038549448811,00	
433100102	 0000010232846,00	
433200000	 0001124982339,00	
433210000	 0000000000000,00	
433210100	 0000000000000,00	
433210200	 0000000000000,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	-0000027500492,00	
433240100	-0000027500492,00	
433240200	 0000000000000,00	
433250000	 0001154503150,00	
433250100	 0000063310848,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	 0001091192302,00	
433250410	 0000000000000,00	
433250411	 0000000000000,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0000000000000,00	
433250451	 0000000000000,00	
433250452	 0000000000000,00	
433250460	 0001091192302,00	
433250461	 0000000000000,00	
433250462	 0001091192302,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	-0000000000001,00	
433300000	-0000002020318,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
