028	BANCO BICE
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	 0000000000000,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0004142962728,00	
416500100	-0004142962728,00	
416500200	 0000000000000,00	
416800000	 0000000000000,00	
416800100	 0000000000000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0019719284609,00	
422150100	 0000298143060,00	
422150101	 0000000000000,00	
422150102	 0000240549509,00	
422150103	 0000000000000,00	
422150104	 0000057593551,00	
422180100	 0000002660542,00	
422180101	 0000001322830,00	
422180102	 0000001337712,00	
422250100	 0001938478622,00	
422250101	 0001756892787,00	
422250102	 0000181585835,00	
422280100	 0000305298145,00	
422280101	 0000013559155,00	
422280102	 0000000000000,00	
422280103	 0000109588890,00	
422280104	 0000120577651,00	
422280105	 0000000000000,00	
422280190	 0000061572449,00	
422350100	 0002024426203,00	
422350101	 0000000000000,00	
422350102	 0000381592372,00	
422350103	 0000462348758,00	
422350104	 0001039920754,00	
422350105	 0000000000000,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000140564319,00	
422380100	 0000325977399,00	
422380101	 0000000000000,00	
422380102	 0000308347968,00	
422380103	 0000000000000,00	
422380104	 0000017629431,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0001626238852,00	
422450101	 0000000000000,00	
422450102	 0000048405492,00	
422450103	 0001552276969,00	
422450104	 0000000000000,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0000025535156,00	
422450108	 0000000000000,00	
422450190	 0000000021235,00	
422480100	 0003196320901,00	
422480101	 0001711933830,00	
422480102	 0001356393716,00	
422480103	 0000030968884,00	
422480190	 0000097024471,00	
422550100	 0006931537215,00	
422550101	 0000242907137,00	
422550102	 0003111627170,00	
422550103	 0001966831492,00	
422550104	 0001610171416,00	
422580000	 0001201275347,00	
422580100	 0000313076618,00	
422580101	 0000237219704,00	
422580102	 0000075856914,00	
422580200	 0000134166982,00	
422580300	 0000280702007,00	
422580400	 0000473329740,00	
422650100	 0000310213406,00	
422680100	 0000145491901,00	
422750100	 0000000000000,00	
422780100	 0000664384611,00	
422780101	 0000000000000,00	
422780102	 0000570191228,00	
422780103	 0000000000000,00	
422780190	 0000094193383,00	
422850100	 0000748838405,00	
422850101	 0000285206885,00	
422850102	 0000004600006,00	
422850103	 0000000000000,00	
422850104	 0000000000000,00	
422850105	 0000000455443,00	
422850106	 0000000000000,00	
422850190	 0000458576071,00	
425000000	-0003175976691,00	
425150100	-0001874528209,00	
425150101	-0000788173924,00	
425150102	-0001083894906,00	
425150103	-0000002459379,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0000829309250,00	
425350101	-0000167880915,00	
425350102	-0000583519450,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000077908885,00	
425380100	-0000472139232,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000371075231,00	
425380104	 0000000000000,00	
425380105	 0000000000000,00	
425380106	 0000000000000,00	
425380190	-0000101064001,00	
431000000	 0069290965056,00	
431150100	 0059158979644,00	
431150101	 0059693453765,00	
431150102	-0000534474121,00	
431180100	 0008849319254,00	
431180101	 0001399643662,00	
431180102	-0000005893354,00	
431180103	 0000766682419,00	
431180104	-0000735747802,00	
431180105	 0006683308103,00	
431180106	 0000741326226,00	
431250000	 0001282666158,00	
431250100	 0001284197086,00	
431250101	 0001284197086,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	-0000001445039,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	-0000001445039,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	-0000000085889,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	-0000000085889,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-0071629287145,00	
431650100	-0071629287145,00	
431650101	 0000000000000,00	
431650102	-0071629287145,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	-0000386616700,00	
432200000	-0000387280926,00	
432200100	 0000000000000,00	
432200200	-0000017565714,00	
432200300	 0000000000000,00	
432200400	-0000369715212,00	
432200500	 0000000000000,00	
432200600	 0000000000000,00	
432300700	 0000000000000,00	
432400000	 0000000664226,00	
432400100	 0000000000000,00	
432400200	 0000000664226,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000000000000,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	 0000000000000,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	 0007382935810,00	
433100100	 0011288814561,00	
433100101	 0011322099540,00	
433100102	-0000033284979,00	
433200000	-0003905878751,00	
433210000	 0000000000000,00	
433210100	 0000000000000,00	
433210200	 0000000000000,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	 0000000000000,00	
433240100	 0000000000000,00	
433240200	 0000000000000,00	
433250000	-0008179054911,00	
433250100	 0000000000000,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	-0008179054911,00	
433250410	-0006639711739,00	
433250411	-0006639711739,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0000000000000,00	
433250451	 0000000000000,00	
433250452	 0000000000000,00	
433250460	-0001539343172,00	
433250461	-0001539343172,00	
433250462	 0000000000000,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
